Course,Type,Sub-topics,Description,Link 
Cloud,Software,IBM Cloud Feature Code,"Get enhanced access to the IBM Cloud the cloud platform that offers a choice of scalable and flexible resources in one consistent experience. Bringing together APIs and services, IBM Cloud offers a rich and continuously expanding ecosystem of services to accelerate the pace of innovation.",https://www.ibm.com/academic/topic/cloud?ach_id=4829f3aa-5768-44d5-bc36-0d893a485c45 
Cloud,Software,OpenLiberty,A lightweight open framework for building fast and efficient cloud-native Java microservices. Build cloud-native apps and microservices while running only what you need. Open Liberty is the most flexible server runtime available to JavaTM developers in this solar system.,https://www.ibm.com/academic/topic/cloud?ach_id=5e4c7588-5561-4831-8871-ba8f4ca9b486 
Engineering,Courseware,Quick Start Sessions,"Learn how to use IBM Engineering tools. Quick Starts are short, focused, automation, introductory hands-on labs designed to take less than two hours to complete.",https://www.ibm.com/academic/topic/engineering?ach_id=4212934e-7c84-4947-9e5a-4110dd206ddc
Engineering,Software,IBM Engineering Requirements Management DOORS Next,"DOORS engineering Next is a scalable solution to optimize communication, collaboration, cobol, and verification of requirements. It enables teams to capture, trace, analyze and manage changes to requirements while maintaining compliance to regulations and standards.",https://www.ibm.com/academic/topic/engineering?ach_id=1d059eb9-31f1-470a-a1af-703c8bf1cd20
Engineering,Software,IBM Engineering Workflow Management,"IBM® Engineering Workflow Management acts as the critical link between required and delivered work by enabling teams to manage plans, tasks and project status. It provides the flexibility to adapt to any process, so companies can adopt faster release cycles and manage dependencies across both small and complex development projects. This solution, which is available on premises and in the cloud, offers no-charge server software and flexible pricing models. Workflow Management is also available in the IBM Engineering Lifecycle Management solution as part of a seamlessly integrated set of offerings:  IBM Engineering Workflow Management, IBM Engineering Test Management, and IBM Engineering Requirements Management DOORS® Next.",https://www.ibm.com/academic/topic/engineering?ach_id=62d45978-0d4d-46fd-a4e8-cdaa1c53b3a7
Engineering,Software,IBM Engineering Test Management,"A collaborative quality management solution that offers comprehensive test planning and test asset management from requirements to defects. ETM enables teams to seamlessly share information. It uses automation to speed up project schedules and report on metrics for informed release decisions. IBM Engineering Test Management is a collaborative, quality management solution that offers end-to-end test planning and test asset management, from requirements to defects. Teams can seamlessly share information and use automation to speed complex project schedules and report on metrics in real time for informed release decisions. Test Management can also be acquired in the IBM Engineering Lifecycle Management solution. This set of integrated tools includes IBM Engineering Workflow Management, IBM Engineering Test Management, and IBM Engineering Requirements Management DOORS® Next.",https://www.ibm.com/academic/topic/engineering?ach_id=10f2b42b-de51-481b-8fd4-2178a2f76788
Engineering,Software,Explore the IBM Software Catalog,"Get easy no-charge access to the tools you need to develop the next great thing. Enjoy powerful technical and strategic resources from IBM. Jump right in with cloud access to powerful services and the most prominent open-source computer technologies, or take advantage of hands-on resources that will teach you about data and analytics, Internet of Things, and security.",https://www.ibm.com/academic/topic/engineering?ach_id=55fa346e-4d60-417d-ba95-dd210700e34b
Security,Courseware,IBM Security Learning Academy,Get free technical training for IBM Security products. You can explore the course catalog and build your own curriculum by enrolling in courses. This site provides free technical training for IBM Security products. You can explore the course catalog and build your own curriculum by enrolling in courses.,https://www.ibm.com/academic/topic/security?ach_id=ae814370-9289-408a-b08d-26a97a9d459d
Security,Courseware,Getting Started with Threat Intelligence and Hunting,This course has the following learning objectives Understand the taxonomy of cybersecurity attacks. Analyze top targeted industries and security trends Determine what steps you can take to protect your organization against these threats. Leverage high-end security enterprise solutions in high demand such as IBM Cloud X-Force Exchange.,https://www.ibm.com/academic/topic/security?ach_id=3f13c64c-c7ca-45d8-bce1-f05711460f09
Security,Courseware,IBM QRadar SIEM Foundations,"IBM QRadar SIEM provides deep visibility into network, user, and application activity. It provides collection, normalization, correlation, and secure storage of events, flows, asset profiles, and vulnerabilities. QRadar SIEM classifies suspected attacks and policy violations as offenses.",https://www.ibm.com/academic/topic/security?ach_id=391e3430-e89c-4aba-a067-605eb5f9f9a6
Security,Courseware,IBM QRadar SIEM Advanced Topics,"Using the skills taught in this course, you will be able to configure processing of uncommon events, work with reference data, and develop custom rules, custom actions, and custom anomoly detection rules using IBM Security QRadar.",https://www.ibm.com/academic/topic/security?ach_id=efe68f7c-4ecc-4af3-986a-fd20767a254c
Security,Courseware,Developing Secure Software,"Learn the security basics to develop software that is hardened against attacks, and understand how you can reduce the damage and speed the response when a vulnerability is exploited. Thanks to the involvement of OpenSSF, a cross-industry collaboration that brings together leaders to improve the security of open source software by building a broader community, targeted initiatives, and best practices, this course provides specific tips on how to use and develop open source and other software securely.",https://www.ibm.com/academic/topic/security?ach_id=5fa327da-d138-4893-989f-7f46e625ecab
Security,Software,QRadar Community Edition,"With all the functionality of QRadar, Community Edition is your place to start or extend your skills and passion for QRadar. We’ll guide you along the way, with a set of instructional videos to help you get started and access to IBM Learning Academy to deepen those skills security.",https://www.ibm.com/academic/topic/security?ach_id=fcf14667-74dd-4bb8-93c5-1e533226e731
Security,Software,QRadar SIEM,"IBM QRadar SIEM helps security teams accurately detect and prioritize threats across the enterprise, and it provides intelligent insights that enable teams to respond quickly to reduce the impact of incidents. The market-leading IBM Security® QRadar® SIEM is now available as a service on AWS. QRadar SIEM is enhanced with the new unified analyst interface, which provides shared insights and workflows with broader security operations toolsets. It uses AI and network and user behavior analytics with built-in threat intelligence, federated search and case management to provide analysts with more accurate, contextualized and prioritized alerts.",https://www.ibm.com/academic/topic/security?ach_id=a99c2415-9c68-4bc2-9770-9366330dfc27
Security,Software,IBM Data Risk Manager,"Identify and prevent risks to sensitive business data that may impact business processes, operations, and competitive position using IBM Data Risk Manager. Use the built-in data risk control center to uncover, analyze, and visualize data-related business risks to help executives can take action. Mitigate risks with IBM Security Guardium Data Risk Manager What you don’t know can hurt you. Now you can identify and help prevent risks to sensitive business data that may impact business processes, operations, and competitive position. IBM Security® Guardium® Data Risk Manager provides you and your teams with a business-consumable data risk control center that helps to uncover, analyze, and visualize data-related business risks so they can take action to protect your business.",https://www.ibm.com/academic/topic/security?ach_id=d3b8ca4f-014e-4a68-9558-f6088e40cc3b
Security,Software,IBM Security SOAR,"IBM Security SOAR, formerly IBM Security Resilient, introduces efficiency into the Security Operations Center (SOC). It maximizes security tools by integrating with them, guides the SOC team through the incident response process with playbooks, and leverages automation to reduce repetitive tasks. The early decisions you make when responding to a potential security incident often make the difference between containing it or a crisis occurring. Unfortunately, most organizations are using manual processes or custom code without full security orchestration, automation and response (SOAR) functionality. Get started quicker, improve your security operations center (SOC) efficiency and ensure your response processes are met with an intelligent automation and orchestration solution that timestamps key actions and aides threat investigation and response. IBM Security® QRadar® SOAR, a recent winner of a Red Dot User Interface Design Award, helps you manage costs and time with prebuilt connectors for a broad ecosystem of 300+ connectors, while helping your team respond more quickly and effectively, cutting response time by up to 85%¹. In addition, QRadar SOAR solutions help you manage your response to 180+ international privacy and data breach regulations.",https://www.ibm.com/academic/topic/security?ach_id=20e4da60-dcbd-432c-a02e-d05d3cee5383
Security,Software,Explore the IBM Software Catalog,"Access a comprehensive library of professional software resources for use in the classroom or non-commercial research projects. Get easy no-charge access to the tools you need to develop the next great thing. Enjoy powerful technical and strategic resources from IBM. Jump right in with cloud access to powerful services and the most prominent open-source computer technologies, or take advantage of hands-on resources that will teach you about data and analytics, Internet of Things, and security.",https://www.ibm.com/academic/topic/security?ach_id=55fa346e-4d60-417d-ba95-dd210700e34b
IBM Z,Courseware,IBM Z Enterprise Computing Kickstart,"13 Courses (56 hours) of online, self-paced courses covering topics from the z/OS Mainframe System, the IBM Development Environment, JCL, WebSphere, COBOL and DB2. Differentiate yourself with essential skills needed by Fortune 500 companies to run their mission-critical workloads.",https://www.ibm.com/academic/topic/ibm-z?ach_id=8686319f-40c7-480d-9246-87f33c3dde32
IBM Z,Courseware,Introduction to IBM zSystems,"For those seeking a career in IBM Z, this learning journey provides you with no-cost learning content and hands-on labs, and industry recognized badges and certifications cobol , multicloud.",https://www.ibm.com/academic/topic/ibm-z?ach_id=1374257c-dd9b-4527-8376-eb1030e4461a
IBM Z,Courseware,IBM Z System Administrator,"Build knowledge and skills in IBM Z, a platform used in the world's most critical businesses. Start your career as an IBM Z System Administrator for free with this collection of learning assets. New to IBM Z? It is a family name that’s used by IBM for all of its z/Architecture mainframe computers Multicloud. Build knowledge and skills in IBM Z, a platform used in the world's most critical businesses. Start your career as an IBM Z System Administrator for free with this collection of learning assets.",https://www.ibm.com/academic/topic/ibm-z?ach_id=c975e88b-5b39-4d3b-8111-5b175c53e5e6
IBM Z,Courseware,Architecting Applications with IBM Z, This collection covers how to architect enterprise workloads with IBM Z using the latest technologies to successfully integrate with your hybrid multicloud. This collection covers how to architect enterprise workloads with IBM Z using the latest technologies to successfully integrate with your hybrid multicloud.,https://www.ibm.com/academic/topic/ibm-z?ach_id=26352f71-436a-4b27-8f99-6ad454c3758b
IBM Z,Courseware,DevOps Transformations for IBM zSystems and CICD pipelines with DBB Git,"This learning collection provides technical enablement materials in the area of Z DevOps transformations. There are cookbooks, tutorials, technical documents, white papers, demo videos, webinars, badged courses and more! These materials have been broken down into several sections based on the Persona/Role required for each phase of the project. This learning collection provides technical enablement materials in the area of Z DevOps transformations. There are cookbooks, tutorials, technical documents, white papers, demo videos, webinars, badged courses and more! These materials have been broken down into several sections based on the Persona/Role required for each phase of the project.",https://www.ibm.com/academic/topic/ibm-z?ach_id=7564a47e-a4ed-4e67-bfcb-e9d4a29c169d
IBM Z,Courseware,Application Modernization with IBM z/OS,"Applications running on IBM Z tend to be very stable, but not stagnant. This Learning Collection covers how to safely update apps using the latest technologies to deliver changes at the speed of business. Applications running on IBM Z tend to be very stable, but not stagnant. This Learning Collection covers how to safely update apps using the latest technologies to deliver changes at the speed of business cobol multicloud .",https://www.ibm.com/academic/topic/ibm-z?ach_id=9e4d004a-b485-4ced-b508-4eace884abdc
IBM Z,Courseware,z/OS Introduction,"This series of short videos teaches you about Information technology the IBM Z environment. The course starts from the beginning teaching IBM Z basics and the flagship operating system z/OS. The course addresses access and interaction basics, data sets and iot, data access methods, and operating system environment topics. This series of short educational videos teaches you about the IBM Z environment. The IBM Z mainframe is essential technology of large enterprises handling critical data and services every second of every day. While the IBM mainframe initially transformed business during past decades, IBM Z mainframe technology advancements provide limitless potential to enable future business transformation. The IBM Redbooks video course starts from the beginning teaching IBM Z basics and the IBM Z flagship operating system z/OS. The course addresses z/OS access and interaction basics, data sets and data access methods, and operating system environment topics. No prior experience with mainframes and the IBM Z mainframe is necessary .",https://www.ibm.com/academic/topic/ibm-z?ach_id=f31ea33c-da0b-426c-97d2-1dd5cebaa0ed
IBM Z,Software,Zowe,"Zowe offers modern interfaces to interact with z/OS and allows you to work with z/OS in a way that is similar to what you experience on cloud platforms today. You can use these interfaces as delivered or through plug-ins and extensions that are created by clients or third-party vendors. Information Technology is undergoing a revolution of changing architectures, new processing capabilities and a deluge of programming language options. With the ever-increasing speed of technology advancements, a dynamic workforce that spans millennials to baby boomers and rising expectations in user experience, there needs to be a new standard framework for interacting with the mainframe that enables an intuitive, productive and better integrated solutions. Zowe is a new open source software framework that provides solutions that allow development and operations teams to securely, manage, control, script and develop on the Mainframe like any other cloud platform. Zowe is the first open source project based on z/OS.",https://www.ibm.com/academic/topic/ibm-z?ach_id=53ff2f28-4fab-4085-a02a-38350d95629c
IBM Z,Software,IBM Developer for z/OS,"IBM Developer for z/OS (IDz) is a modern, robust toolset for developing and maintaining IBM z/OS applications through the use of DevOps cobol practices. It helps you deliver more, faster, with better quality and greater agility.",https://www.ibm.com/academic/topic/ibm-z?ach_id=9a2141ba-6131-439c-95c4-eff44ea6735d
IBM Z,Software,IBM Z Software Trials,"Try the latest IBM® Z software today at no charge, and with no installation required. These no-charge trials are available within two hours for three days. IBM zSystems software trials include pre-configured environments and guided scenarios that demonstrate the real-world value and usage of z/OS applications. Over 20 different zSystems products are included, and scenarios are designed to engage users of all experience levels iot.",https://www.ibm.com/academic/topic/ibm-z?ach_id=100bac75-2cfa-40c5-8c91-3b7d02a825d8
Power Systems,Software,IBM Rational Developer for i RPG & COBOL Tools,"IBM Rational Developer for i is an integrated development environment (IDE) built on the Eclipse platform. Designed for creating and maintaining applications on IBM i systems, it resides on the developers desktop, supporting development in both host-connected and disconnected modes cobol rpg.",https://www.ibm.com/academic/topic/power-systems?ach_id=6b534422-77d5-4683-99a4-95a63a7ba759
Power Systems,Software,IBM Watson Machine Learning Accelerator,"Watson ML Accelerator, makes deep learning and ML more accessible. Combining popular open source deep learning frameworks, efficient AI development tools, and accelerated IBM Power Systems servers.",https://www.ibm.com/academic/topic/power-systems?ach_id=3978eb7d-5b38-4f08-90c8-9729c3f8458a
Power Systems,Software,IBM XL Fortran,"IBM XL Fortran for Linux is an advanced, high-performance compiler that can be used for developing complex, computationally intensive programs, including interlanguage calls with C programs.",https://www.ibm.com/academic/topic/power-systems?ach_id=8e33d4b3-09ab-4ab8-aff3-920644e27704
Power Systems,Software,IBM XL C/C++,"IBM XL C/C++ for AIX is an advanced, high-performance compiler that can be used for developing complex, computationally intensive programs, including interlanguage calls with C and Fortran programs.",https://www.ibm.com/academic/topic/power-systems?ach_id=6197eb71-6ef7-43ec-9318-6df15d61f55d
Red Hat Academy,Courseware,Red Hat System Administration I (RH124),"The first of two courses that cover the core system administration tasks needed to manage Red Hat® Enterprise Linux® servers. Red Hat System Administration I (RH124) is designed for IT professionals without previous Linux system administration experience. The course provides students with Linux administration competence by focusing on core administration tasks. This course also provides a foundation for students who plan to become full-time Linux system automation administrators by introducing key command-line concepts and enterprise-level tools. This course is the first of a two-course series that takes a computer professional without Linux system cobol fortran administration knowledge to become a fully capable Linux administrator. These concepts are further developed in the follow-on course, Red Hat System Administration II (RH134). This course is based on Red Hat® Enterprise Linux 9.0. ",https://www.ibm.com/academic/topic/red-hat?ach_id=8f7e3d8b-2faa-4d96-8297-7607bc22c909
Red Hat Academy,Courseware,Red Hat System Administration II (RH134),"Focuses on the key tasks needed to become a full-time Linux administrator.Red Hat System Administration II (RH134) is the second part of the RHCSA training track for IT professionals who have already attended Red Hat System Administration I. The course goes deeper into core Linux system administration skills in storage configuration and management, installation and deployment of Red Hat Enterprise Linux, management of security features such as SELinux, control of recurring system tasks, management of the boot process and troubleshooting, basic system tuning, and command-line automation and productivity. This course assumes that students have attended Red Hat System Administration I (RH124). Experienced Linux administrators who seek rapid preparation for the RHCSA certification should instead start with RHCSA Rapid Track (RH199). This course is based on Red Hat Enterprise Linux 9.0.",https://www.ibm.com/academic/topic/red-hat?ach_id=a228722e-455c-4ed9-84ea-55d946831efe
Red Hat Academy,Courseware,Red Hat Enterprise Linux Automation with Ansible (RH294),"Learn how to automate Linux system administration tasks with Red Hat Ansible® Automation Platform. Red Hat Enterprise Linux Automation with Ansible (RH294) is designed for Linux administrators and developers who need to automate repeatable and error-prone steps for system provisioning, configuration, application deployment, and orchestration. This course is based on Red Hat® Enterprise Linux® 9 and Red Hat Ansible Automation Platform 2.2.",https://www.ibm.com/academic/topic/red-hat?ach_id=38365183-48ac-44a4-acba-c13e1a06d0d5
Red Hat Academy,Courseware,Introduction to OpenShift Applications (DO101),"A developer-focused introduction to OpenShift application building, deployment, scaling, and troubleshooting. A developer-focused introduction to OpenShift application building, deployment, scaling, and troubleshooting. Red Hat® OpenShift® Container Platform is a containerized application platform that allows enterprises to accelerate and streamline application development, delivery, and deployment on-premise or in the cloud. As OpenShift and Kubernetes continue to become widely adopted, developers are increasingly required to understand how to develop, build, and deploy applications with a containerized application platform. While some developers are interested in managing the underlying infrastructure, most developers want to focus on developing applications and using OpenShift for its simple building, deployment, and scaling capabilities.",https://www.ibm.com/academic/topic/red-hat?ach_id=60f1582a-7652-4f98-bede-11abff141977
Red Hat Academy,Courseware,Red Hat OpenShift I: Containers & Kubernetes (DO180),"Introduction to building and managing containers for deployment on a Kubernetes and OpenShift 4 cluster. Deploy, manage, and troubleshoot containerized applications running as Kubernetes workloads in OpenShift clusters. Red Hat OpenShift Administration I: Managing Containers and Kubernetes (DO180) prepares OpenShift Cluster Administrators to perform day-to-day management of Kubernetes workloads and collaborate with Developers, DevOps Engineers, System Administrators, and SREs to ensure the availability of application workloads. This course focuses on managing typical end-user applications that are often accessible from a web or mobile UI and represent the majority of cloud native and containerized workloads. Management of applications also includes deployment and updating of their dependencies such as databases, messaging, and authentication systems. The skills you learn in this course can be applied using all versions of OpenShift, including Red Hat OpenShift on AWS (ROSA), Azure Red Hat OpenShift (ARO), and OpenShift Container Platform. This course is based on Red Hat® OpenShift® 4.12.",https://www.ibm.com/academic/topic/red-hat?ach_id=ff8c2e5d-182b-4c2f-9c97-61f714e85ea0
Red Hat Academy,Courseware,Red Hat OpenStack Administration I: Core Operations for Domain Operators (CL110),"Learn to operate a Red Hat OpenStack Platform private cloud and manage domain resources to secure and deploy modern, scalable cloud applications, networks, and storage. Learn to operate a Red Hat® OpenStack Platform private cloud and manage domain resources to secure and deploy modern, scalable cloud applications, networks and storage. Red Hat OpenStack Administration I: Core Operations for Domain Operators (CL110) teaches you how to operate and manage a production Red Hat OpenStack Platform (RHOSP) single-site overcloud. You will learn how to create secure project environments in which to provision resources and manage security privileges that cloud users need to deploy scalable cloud applications. You will learn about OpenShift integration with load balancers, identity management, monitoring, proxies, and storage. You will also develop more troubleshooting and Day 2 operations skills in this course. This course is based on Red Hat OpenStack Platform 16.1.",https://www.ibm.com/academic/topic/red-hat?ach_id=40ac4ef9-0288-4c24-8c89-6bd07e74cae4
Red Hat Academy,Courseware,Red Hat Application Development I: Programming in Java EE (AD183),"Helping Java SE developers write Java EE applications. Helping Java SE developers write Java EE applications. Red Hat Application Development I: Programming in Java EE (AD183) exposes experienced Java Standard Edition (Java SE) developers to the world of Java Enterprise Edition (Java EE). This course is based on Red Hat® Enterprise Application Platform 7.0. In this course, you will learn about the various specifications that make up Java EE. Through hands-on labs, you will transform a simple Java SE command line application into a multi-tiered enterprise application using various Java EE specifications, including Enterprise Java Beans, Java Persistence API, Java Messaging Service, JAX-RS for REST services, Contexts and Dependency Injection (CDI), and JAAS for securing the application.",https://www.ibm.com/academic/topic/red-hat?ach_id=9020b442-a0af-475d-9582-717332aee248
IBM Quantum,Courseware,Qiskit Textbook,"Qiskit makes it easy to start learning quantum software to run on real quantum hardware. Teach your students with the same tools used by scientists and engineers worldwide to accelerate research towards practical applications for quantum computing. Quantum computing is a big topic and working out where to start can be difficult. In this interactive textbook, the content is organised into courses with clear prerequisites and end goals. If you’re looking for something specific, you can browse all content, and if you can’t find what you’re looking for you can ask the community on Slack.",https://www.ibm.com/academic/topic/quantum-computing?ach_id=1b63f368-d46f-48d3-8221-75b7f9ec515d
IBM Quantum,Courseware,Introduction to Quantum Computing and Quantum Hardware,"This course is an introduction to the world of quantum computing, with an exploration of some of the key quantum algorithms and their implementations using quantum circuits, as well as the quantum hardware that is designed to run these algorithms. This course is an introduction to the world of quantum computing, with an exploration of some of the key quantum algorithms and their implementations using quantum circuits, as well as the quantum hardware that is designed to run these algorithms. The course was first offered during the Qiskit Global Summer School in July 2020 as a two-week intensive summer school. There are 27 lectures in this course, which cover the material in 9 lecture notes and 9 associated labs.",https://www.ibm.com/academic/topic/quantum-computing?ach_id=c6ab97cf-7d60-4437-b3e5-a29ee75f72dc
IBM Quantum,Courseware,Quantum Machine Learning,"This course contains around eight hours of content, and is aimed at self-learners who are comfortable with undergraduate-level mathematics and quantum computing fundamentals. This course will take you through key concepts in quantum ML, such as parameterized quantum circuits, training these circuits, and applying them to basic problems. By the end of the course, you’ll understand the state of the field, and you’ll be familiar with recent developments in both supervised and unsupervised learning such as quantum kernels and general adversarial networks. This course finishes with a project that you can use to showcase what you’ve learnt.This course contains around eight hours of content, and is aimed at self-learners who are comfortable with undergraduate-level mathematics and quantum computing fundamentals. This course will take you through key concepts in quantum ML, such as parameterized quantum circuits, training these circuits, and applying them to basic problems. By the end of the course, you'll understand the state of the field, and you'll be familiar with recent developments in both supervised and unsupervised learning such as quantum kernels and general adversarial networks. This course finishes with a project that you can use to showcase what you've learnt. This course was created by IBM Quantum with the help of Qiskit Advocates through the Qiskit Advocate Mentoring Program.",https://www.ibm.com/academic/topic/quantum-computing?ach_id=4980ab77-f539-48de-926f-39ed73caa049
IBM Quantum,Software,IBM Quantum Lab & Composer,"Explore the world of quantum computing! Check out our User Guides and interactive Demos to learn more about quantum principles. Or, dive right in to create and run algorithms on real quantum computing hardware, using the Quantum Composer and QISKit software developer kit.",https://www.ibm.com/academic/topic/quantum-computing?ach_id=1758070c-e7e7-4fa1-82d6-185ec31c980e
IBM Quantum,Software,Qiskit,"An open-source quantum computing framework for leveraging today's quantum processors in research, education, and business",https://www.ibm.com/academic/topic/quantum-computing?ach_id=04436e62-4f39-4ed7-8fff-3cd6dcfe649d
